t[s],CH1,CH2
1.796,4.4,0.624
1.798,4.4,0.624
1.8,4.6,0.656
1.802,4.4,0.664
1.804,4.4,0.688
1.806,4.6,0.712
1.808,4.6,0.728
1.81,4.6,0.736
1.812,4.6,0.728
1.814,4.6,0.72
1.816,4.6,0.728
1.818,4.6,0.792
1.82,4.6,0.832
1.822,4.6,0.872
1.824,4.6,0.872
1.826,4.6,0.864
1.828,4.6,0.848
1.83,4.6,0.848
1.832,4.6,0.888
1.834,4.8,0.904
1.836,4.8,0.936
1.838,4.8,0.952
1.84,4.6,0.976
1.842,4.8,0.984
1.844,4.8,1.008
1.846,4.8,1.024
1.848,4.8,1.04
1.85,4.8,1.048
1.852,4.8,1.048
1.854,4.8,1.064
1.856,4.8,1.08
1.858,4.8,1.104
1.86,4.8,1.12
1.862,4.8,1.144
1.864,4.8,1.144
1.866,4.8,1.152
1.868,4.8,1.144
1.87,5.0,1.16
1.872,4.8,1.168
1.874,5.0,1.176
1.876,4.8,1.168
1.878,5.0,1.168
1.88,5.0,1.176
1.882,5.0,1.176
1.884,5.0,1.184
1.886,5.0,1.176
1.888,5.0,1.176
1.89,5.0,1.168
1.892,5.0,1.176
1.894,5.0,1.176
1.896,5.2,1.176
1.898,5.2,1.176
1.9,5.2,1.176
1.902,5.2,1.168
1.904,5.0,1.168
1.906,5.2,1.16
1.908,5.2,1.16
1.91,5.2,1.16
1.912,5.2,1.16
1.914,5.2,1.152
1.916,5.2,1.152
1.918,5.2,1.144
1.92,5.2,1.136
1.922,5.2,1.136
1.924,5.2,1.128
1.926,5.2,1.128
1.928,5.2,1.12
1.93,5.2,1.12
1.932,5.4,1.112
1.934,5.4,1.104
1.936,5.2,1.088
1.938,5.2,1.08
1.94,5.2,1.072
1.942,5.2,1.056
1.944,5.4,1.048
1.946,5.4,1.032
1.948,5.4,1.024
1.95,5.4,1.008
1.952,5.4,0.984
1.954,5.4,0.96
1.956,5.4,0.928
1.958,5.4,0.912
1.96,5.4,0.904
1.962,5.4,0.888
1.964,5.6,0.872
1.966,5.4,0.856
1.968,5.6,0.84
1.97,5.4,0.824
1.972,5.6,0.808
1.974,5.6,0.792
1.976,5.6,0.776
1.978,5.6,0.776
1.98,5.6,0.76
1.982,5.4,0.752
1.984,5.6,0.736
1.986,5.6,0.72
1.988,5.6,0.704
1.99,5.6,0.696
1.992,5.6,0.68
1.994,5.6,0.68
1.996,5.6,0.664
1.998,5.6,0.664
2.0,5.6,0.648
2.002,5.6,0.64
2.004,5.6,0.632
2.006,5.6,0.632
2.008,5.8,0.624
2.01,5.8,0.616
2.012,5.8,0.608
2.014,5.8,0.592
2.016,5.8,0.576
2.018,6.0,0.56
2.02,5.8,0.536
2.022,5.8,0.512
2.024,5.8,0.512
2.026,5.8,0.504
2.028,5.8,0.504
2.03,5.8,0.504
2.032,6.0,0.496
2.034,5.8,0.472
2.036,6.0,0.456
2.038,6.0,0.432
2.04,6.0,0.416
2.042,6.0,0.4
2.044,6.0,0.4
2.046,6.0,0.392
2.048,6.0,0.384
2.05,6.0,0.376
2.052,6.0,0.368
2.054,6.0,0.352
2.056,6.0,0.344
2.058,6.0,0.328
2.06,6.0,0.32
2.062,6.0,0.328
2.064,6.0,0.32
2.066,6.0,0.32
2.068,6.0,0.304
2.07,6.0,0.304
2.072,6.0,0.288
2.074,6.0,0.288
2.076,6.0,0.264
2.078,6.2,0.264
2.08,6.0,0.264
2.082,6.0,0.264
2.084,6.2,0.264
2.086,6.0,0.264
2.088,6.2,0.264
2.09,6.0,0.256
2.092,6.2,0.24
2.094,6.2,0.232
2.096,6.2,0.224
2.098,6.4,0.216
2.1,6.2,0.216
2.102,6.2,0.216
2.104,6.2,0.224
2.106,6.2,0.224
2.108,6.2,0.224
2.11,6.4,0.208
2.112,6.4,0.192
2.114,6.4,0.176
2.116,6.4,0.16
2.118,6.4,0.168
2.12,6.4,0.176
2.122,6.4,0.184
2.124,6.4,0.192
2.126,6.4,0.184
2.128,6.4,0.168
2.13,6.4,0.152
2.132,6.4,0.136
2.134,6.4,0.136
2.136,6.4,0.144
2.138,6.6,0.136
2.14,6.4,0.144
2.142,6.4,0.144
2.144,6.6,0.128
2.146,6.4,0.128
2.148,6.6,0.12
2.15,6.6,0.12
2.152,6.6,0.12
2.154,6.4,0.12
2.156,6.6,0.12
2.158,6.6,0.112
2.16,6.6,0.104
2.162,6.6,0.112
2.164,6.6,0.104
2.166,6.8,0.112
2.168,6.6,0.104
2.17,6.8,0.112
2.172,6.8,0.096
2.174,6.6,0.096
2.176,6.6,0.096
2.178,6.8,0.096
2.18,6.8,0.088
2.182,6.8,0.096
2.184,6.8,0.096
2.186,6.8,0.096
2.188,6.8,0.088
2.19,6.8,0.088
2.192,6.8,0.08
2.194,6.8,0.08
2.196,6.8,0.08
2.198,6.8,0.08
2.2,6.8,0.08
2.202,6.8,0.088
2.204,6.8,0.08
2.206,6.8,0.08
2.208,7.0,0.072
2.21,7.0,0.072
2.212,7.0,0.072
2.214,6.8,0.072
2.216,7.0,0.072
2.218,7.0,0.072
2.22,7.0,0.08
2.222,7.0,0.08
2.224,7.0,0.072
2.226,7.0,0.072
